geography,ttl_latency_capacity,ttl_iops_capacity,ttl_mbsec_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,ttl_iops,ttl_latency,client_id,period_id
,10.0,1000000.0,14000.0,1.75,217.08,399.43,54.35,976.98,18025.46,0.66,137,1467
,10.0,200000.0,4000.0,3.0,195.59,387.14,50.52,200.77,0.0,0.0,137,1468
,10.0,1200000.0,18000.0,2.38,411.66,786.41,52.35,1176.65,39024.13,1.1,137,1469
,10.0,1000000.0,14000.0,1.75,217.4,399.42,54.43,976.98,41117.34,1.14,137,1470
,10.0,1200000.0,18000.0,2.38,417.21,786.38,53.05,1182.09,39164.39,1.14,137,1471
,10.0,1200000.0,18000.0,2.38,414.45,786.09,52.72,1180.18,54414.79,0.17,137,1474
,10.0,1200000.0,18000.0,2.38,418.14,785.49,53.23,1183.87,73967.6,0.51,137,1476
,10.0,1200000.0,18000.0,2.38,392.7,786.26,49.95,1157.81,67612.24,0.64,137,1478
,10.0,1200000.0,18000.0,2.38,390.56,786.48,49.66,1155.48,68039.75,0.2,137,1481
,10.0,1200000.0,18000.0,2.38,390.62,786.83,49.64,1155.15,70588.09,0.4,137,1483
,10.0,1200000.0,18000.0,2.38,390.76,787.56,49.62,1154.03,78748.23,0.56,137,1485
,10.0,1200000.0,18000.0,2.38,388.25,787.22,49.32,1151.27,83734.75,0.45,137,1488
,10.0,1200000.0,18000.0,2.38,386.48,787.3,49.09,1150.26,80886.42,0.4,137,1490
,10.0,1200000.0,18000.0,2.38,392.55,787.74,49.83,1155.47,91369.9,0.41,137,1492
,10.0,1200000.0,18000.0,2.38,403.77,786.5,51.34,1168.57,66588.86,0.16,137,1495
,10.0,1200000.0,18000.0,2.38,413.23,786.13,52.56,1177.62,73885.58,0.34,137,1497
,10.0,1200000.0,18000.0,2.38,412.6,786.75,52.44,1176.85,82433.83,0.48,137,1499
,10.0,1200000.0,18000.0,2.38,413.06,786.76,52.5,1177.94,62275.43,0.22,137,1502
,10.0,1200000.0,18000.0,2.38,414.31,786.69,52.67,1178.76,88156.18,0.52,137,1504
,10.0,1200000.0,18000.0,2.38,416.86,787.13,52.96,1180.65,81094.29,0.51,137,1506
,10.0,1100000.0,16000.0,2.17,288.62,591.91,48.76,1052.42,45064.99,0.67,137,1509
,10.0,1200000.0,18000.0,2.38,409.92,786.7,52.11,1174.23,82173.71,0.52,137,1511
,10.0,1200000.0,18000.0,2.38,412.01,787.26,52.34,1175.76,80154.5,0.49,137,1513
,10.0,700000.0,11000.0,2.58,345.08,589.34,58.55,631.06,60347.95,0.19,137,1516
,10.0,1200000.0,18000.0,2.38,409.3,786.5,52.04,1173.66,80678.73,0.55,137,1518
,10.0,1200000.0,18000.0,2.38,413.42,787.12,52.52,1176.97,81717.68,0.52,137,1520
,10.0,700000.0,11000.0,2.58,255.86,584.61,43.77,739.61,57651.16,0.02,137,1523
,10.0,1200000.0,18000.0,2.38,411.22,786.58,52.28,1175.36,76554.71,0.43,137,1525
,10.0,1200000.0,18000.0,2.38,412.55,787.01,52.42,1176.19,43833.33,0.0,137,1527
,10.0,1200000.0,18000.0,2.38,410.78,786.65,52.22,1175.28,71837.25,0.22,137,1530
,10.0,1200000.0,18000.0,2.38,412.07,786.58,52.39,1175.96,69667.52,0.12,137,1532
,10.0,1200000.0,18000.0,2.38,418.77,787.01,53.21,1182.47,67231.85,0.27,137,1534
,10.0,1200000.0,18000.0,2.38,414.6,786.6,52.71,1178.1,61506.95,0.2,137,1537
,10.0,1200000.0,18000.0,2.38,414.7,786.5,52.73,1179.0,65277.0,0.16,137,1539
,10.0,1200000.0,18000.0,2.38,416.37,786.98,52.91,1180.16,65370.48,0.21,137,1541
,10.0,1200000.0,18000.0,2.38,411.35,786.45,52.31,1176.21,65450.07,0.14,137,1544
,10.0,1200000.0,18000.0,2.38,414.12,786.51,52.65,1178.55,65199.97,0.14,137,1546
,10.0,1200000.0,18000.0,2.38,416.97,787.14,52.97,1180.78,69801.73,0.22,137,1548
,10.0,1200000.0,18000.0,2.38,414.27,786.6,52.67,1179.1,66857.82,0.16,137,1551
,10.0,1200000.0,18000.0,2.38,414.05,786.53,52.64,1178.33,85590.41,0.32,137,1553
,10.0,1200000.0,18000.0,2.38,416.95,787.09,52.97,1181.27,74124.92,0.22,137,1555
,10.0,1200000.0,18000.0,2.38,416.02,787.07,52.86,1180.73,75253.32,0.18,137,1558
,10.0,1200000.0,18000.0,2.38,415.82,786.68,52.86,1180.35,76853.69,0.25,137,1560
,10.0,1200000.0,18000.0,2.38,419.83,787.23,53.33,1184.05,75588.62,0.25,137,1562
,10.0,1200000.0,18000.0,2.38,416.51,786.93,52.93,1181.77,72953.6,0.25,137,1565
,10.0,1200000.0,18000.0,2.38,416.55,786.58,52.96,1181.39,70252.79,0.17,137,1567
,10.0,1200000.0,18000.0,2.38,419.48,787.16,53.29,1183.57,76207.06,0.3,137,1569
,10.0,1200000.0,18000.0,2.38,416.91,786.88,52.98,1181.95,76893.42,0.22,137,1572
,10.0,1100000.0,16000.0,2.17,295.28,594.53,49.67,1055.98,27965.88,0.74,137,1574
,10.0,1200000.0,18000.0,2.38,420.78,787.2,53.45,1184.86,76692.36,0.28,137,1576
,10.0,1200000.0,18000.0,2.38,420.06,786.91,53.38,1183.72,80588.99,0.2,137,1579
,10.0,1200000.0,18000.0,2.38,418.23,786.46,53.18,1183.06,67324.37,0.19,137,1581
,10.0,1100000.0,16000.0,2.17,297.16,594.6,49.98,1057.29,47370.13,0.62,137,1583
,10.0,1200000.0,18000.0,2.38,422.29,786.81,53.67,1186.5,70894.91,0.27,137,1586
,10.0,1200000.0,18000.0,2.38,421.74,786.43,53.63,1185.83,62307.15,0.2,137,1588
,10.0,1200000.0,18000.0,2.38,424.67,786.95,53.96,1188.22,72662.68,0.49,137,1590
,10.0,1200000.0,18000.0,2.38,423.01,786.57,53.78,1187.41,67725.8,0.22,137,1593
,10.0,1200000.0,18000.0,2.38,423.91,786.47,53.9,1187.68,63465.28,0.22,137,1595
,10.0,1200000.0,18000.0,2.38,426.13,786.34,54.19,1190.31,66532.57,0.31,137,1597
,10.0,1200000.0,18000.0,2.38,419.43,786.3,53.34,1166.27,73694.38,0.28,137,1600
,10.0,700000.0,11000.0,2.58,357.85,588.58,60.8,637.75,52600.98,0.18,137,1602
,10.0,1200000.0,18000.0,2.38,419.87,786.62,53.38,1166.58,64465.1,0.3,137,1604
,10.0,1200000.0,18000.0,2.38,415.29,787.02,52.77,1162.06,72183.54,0.23,137,1607
,10.0,1200000.0,18000.0,2.38,412.57,786.69,52.44,1159.76,54688.83,0.27,137,1609
,10.0,1200000.0,18000.0,2.38,416.15,787.12,52.87,1162.2,62947.33,0.23,137,1611
,10.0,1200000.0,18000.0,2.38,416.24,787.04,52.89,1162.64,80495.33,0.3,137,1614
,10.0,1200000.0,18000.0,2.38,416.75,786.81,52.97,1162.96,66776.66,0.28,137,1616
,10.0,1200000.0,18000.0,2.38,421.77,787.23,53.58,1166.6,68911.06,0.25,137,1618
,10.0,1200000.0,18000.0,2.38,420.33,787.06,53.41,1165.74,63826.3,0.28,137,1621
,10.0,1100000.0,16000.0,2.17,342.45,591.56,57.89,1086.39,63795.91,0.22,137,1623
,10.0,1200000.0,18000.0,2.38,430.62,787.29,54.7,1175.28,70123.55,0.3,137,1625
,10.0,1200000.0,18000.0,2.38,423.59,787.13,53.81,1181.87,71912.37,0.22,137,1628
,10.0,1200000.0,18000.0,2.38,425.3,786.9,54.05,1182.98,62623.14,0.2,137,1630
,10.0,1200000.0,18000.0,2.38,427.23,787.28,54.27,1184.57,62944.01,0.29,137,1632
,10.0,1200000.0,18000.0,2.38,426.39,786.97,54.18,1183.46,68155.18,0.25,137,1635
,10.0,1200000.0,18000.0,2.38,425.17,786.74,54.04,1183.19,63615.14,0.18,137,1637
,10.0,1200000.0,18000.0,2.38,428.12,787.18,54.39,1185.51,66951.36,0.28,137,1639
,10.0,1200000.0,18000.0,2.38,425.17,786.96,54.03,1183.35,66124.25,0.16,137,1642
,10.0,1200000.0,18000.0,2.38,425.69,786.65,54.11,1183.68,76842.75,0.32,137,1644
,10.0,1200000.0,18000.0,2.38,426.73,786.88,54.23,1183.8,66793.3,0.42,137,1646
,10.0,1200000.0,18000.0,2.38,424.28,786.82,53.92,1183.08,61060.76,0.13,137,1649
,10.0,1200000.0,18000.0,2.38,425.49,786.57,54.1,1184.02,60064.83,0.15,137,1651
,10.0,1200000.0,18000.0,2.38,429.97,786.96,54.64,1188.14,60079.72,0.19,137,1653
,10.0,1200000.0,18000.0,2.38,425.05,786.68,54.03,1184.28,60747.64,0.17,137,1656
,10.0,1200000.0,18000.0,2.38,427.34,786.54,54.33,1185.76,60091.4,0.18,137,1658
,10.0,1200000.0,18000.0,2.38,429.39,786.85,54.57,1187.99,57228.29,0.26,137,1660
,10.0,1200000.0,18000.0,2.38,428.18,786.64,54.43,1186.66,62008.96,0.18,137,1663
,10.0,700000.0,11000.0,2.58,274.07,584.57,46.88,752.09,51953.18,0.01,137,1665
,10.0,1200000.0,18000.0,2.38,428.1,786.8,54.41,1186.82,62048.58,0.25,137,1667
,10.0,1200000.0,18000.0,2.38,428.39,786.97,54.44,1186.94,64700.44,0.17,137,1670
,10.0,1200000.0,18000.0,2.38,428.92,786.79,54.52,1187.44,58955.5,0.16,137,1672
,10.0,1200000.0,18000.0,2.38,429.99,787.01,54.64,1188.31,60297.09,0.21,137,1674
,10.0,1200000.0,18000.0,2.38,428.22,786.99,54.41,1186.67,65958.51,0.17,137,1677
,10.0,1200000.0,18000.0,2.38,429.75,786.84,54.62,1187.89,60906.53,0.19,137,1679
,10.0,1200000.0,18000.0,2.38,431.61,786.77,54.86,1190.28,65121.92,0.51,137,1681
,10.0,1200000.0,18000.0,2.38,428.82,786.76,54.51,1187.57,62343.62,0.19,137,1684
,10.0,1200000.0,18000.0,2.38,440.0,788.43,55.81,1196.84,53250.0,0.18,137,1686
,10.0,1200000.0,18000.0,2.38,442.42,787.91,56.15,1199.99,52114.92,0.4,137,1688
,10.0,1200000.0,18000.0,2.38,442.74,787.76,56.2,1199.77,60794.81,0.19,137,1691
,10.0,1200000.0,18000.0,2.38,441.82,787.85,56.08,1199.72,55202.51,0.19,137,1693
,10.0,1200000.0,18000.0,2.38,440.32,788.13,55.87,1197.46,57786.82,0.25,137,1695
,10.0,1200000.0,18000.0,2.38,442.89,788.06,56.2,1200.51,63767.4,0.19,137,1698
,10.0,1200000.0,18000.0,2.38,443.98,788.12,56.33,1201.28,57290.67,0.19,137,1700
,10.0,1200000.0,18000.0,2.38,442.83,788.23,56.18,1200.11,57326.0,0.23,137,1702
,10.0,1200000.0,18000.0,2.38,444.57,788.21,56.4,1201.99,62783.89,0.18,137,1705
,10.0,1200000.0,18000.0,2.38,442.05,788.16,56.09,1200.0,36777.8,0.11,137,1707
,10.0,1200000.0,18000.0,2.38,444.53,788.33,56.39,1201.67,47855.35,0.33,137,1709
,10.0,1200000.0,18000.0,2.38,444.65,788.14,56.42,1202.13,51846.99,0.22,137,1712
,10.0,1200000.0,18000.0,2.38,444.73,788.25,56.42,1201.85,50072.71,0.19,137,1714
,10.0,1200000.0,18000.0,2.38,446.52,788.26,56.65,1203.61,46572.34,0.26,137,1716
,10.0,1200000.0,18000.0,2.38,445.11,788.21,56.47,1202.49,65638.48,0.22,137,1719
,10.0,1200000.0,18000.0,2.38,445.04,788.24,56.46,1202.31,76076.88,0.23,137,1721
,10.0,1200000.0,18000.0,2.38,445.71,788.54,56.52,1202.43,65650.63,0.36,137,1723
,10.0,1200000.0,18000.0,2.38,447.52,788.3,56.77,1203.93,67567.99,0.16,137,1726
,10.0,1200000.0,18000.0,2.38,446.64,788.3,56.66,1203.81,63681.37,0.15,137,1728
,10.0,1200000.0,18000.0,2.38,447.39,788.51,56.74,1204.42,62353.52,0.26,137,1730
,10.0,1100000.0,16000.0,2.17,296.77,594.88,49.89,1051.52,13586.17,0.55,137,1733
,10.0,1200000.0,18000.0,2.38,449.04,788.1,56.98,1206.23,71410.23,0.17,137,1735
,10.0,1100000.0,16000.0,2.17,294.97,594.92,49.58,1049.66,21281.17,0.96,137,1737
,10.0,200000.0,4000.0,3.0,227.48,388.89,58.49,230.9,52034.53,0.0,137,1740
,10.0,1200000.0,18000.0,2.38,442.17,788.21,56.1,1199.6,63136.88,0.22,137,1742
,10.0,1200000.0,18000.0,2.38,446.13,787.93,56.62,1203.72,71558.35,0.2,137,1744
,10.0,1200000.0,18000.0,2.38,444.65,787.88,56.44,1202.5,73040.99,0.13,137,1747
,10.0,1200000.0,18000.0,2.38,443.5,787.72,56.3,1200.63,75522.8,0.15,137,1749
,10.0,1200000.0,18000.0,2.38,444.04,787.97,56.35,1201.66,61770.89,0.2,137,1751
,10.0,1200000.0,18000.0,2.38,446.31,787.81,56.65,1202.59,61996.4,0.12,137,1754
,10.0,1200000.0,18000.0,2.38,443.31,787.88,56.27,1201.13,69685.35,0.17,137,1756
,10.0,1200000.0,18000.0,2.38,444.4,787.98,56.4,1201.95,58894.59,0.24,137,1758
,10.0,1200000.0,18000.0,2.38,445.29,787.8,56.52,1203.3,59570.0,0.1,137,1761
,10.0,1200000.0,18000.0,2.38,445.92,787.79,56.6,1203.34,67815.99,0.18,137,1763
,10.0,1200000.0,18000.0,2.38,448.12,787.89,56.88,1205.16,69164.65,0.31,137,1765
,10.0,1200000.0,18000.0,2.38,447.77,787.66,56.85,1205.39,71945.74,0.28,137,1768
,10.0,1200000.0,18000.0,2.38,447.28,787.62,56.79,1204.68,81941.15,0.23,137,1770
,10.0,1200000.0,18000.0,2.38,449.4,787.73,57.05,1206.6,72475.13,0.36,137,1772
,10.0,1200000.0,18000.0,2.38,448.62,787.55,56.96,1206.4,56513.12,0.02,137,1775
,10.0,1200000.0,18000.0,2.38,449.19,787.63,57.03,1206.17,69435.08,0.22,137,1777
,10.0,1200000.0,18000.0,2.38,449.09,787.65,57.02,1206.18,72052.84,0.34,137,1779
,10.0,1200000.0,18000.0,2.38,451.06,787.17,57.3,1209.13,66240.48,0.13,137,1782
,10.0,1200000.0,18000.0,2.38,449.19,787.52,57.04,1206.36,71450.77,0.18,137,1784
,10.0,1200000.0,18000.0,2.38,450.81,787.6,57.24,1207.81,65181.14,0.2,137,1786
,10.0,1200000.0,18000.0,2.38,452.6,787.31,57.49,1209.6,69137.63,0.16,137,1789
,10.0,1200000.0,18000.0,2.38,448.76,787.41,56.99,1205.95,68316.25,0.19,137,1791
,10.0,1100000.0,16000.0,2.17,298.74,594.8,50.23,1052.56,22397.41,0.82,137,1793
,10.0,1200000.0,18000.0,2.38,448.94,787.24,57.03,1206.93,62791.87,0.09,137,1796
,10.0,1200000.0,18000.0,2.38,451.27,787.32,57.32,1208.44,74610.38,0.2,137,1798
,10.0,1200000.0,18000.0,2.38,449.58,787.65,57.08,1206.92,50125.43,0.24,137,1800
,10.0,1200000.0,18000.0,2.38,445.99,788.34,56.57,1202.79,53780.58,0.19,137,1803
,10.0,1200000.0,18000.0,2.38,449.27,788.07,57.01,1205.59,53868.28,0.21,137,1805
,10.0,1200000.0,18000.0,2.38,449.48,787.56,57.07,1206.41,56528.99,0.34,137,1807
,10.0,1200000.0,18000.0,2.38,452.79,786.95,57.54,1211.33,50049.56,0.11,137,1810
,10.0,1200000.0,18000.0,2.38,447.88,786.73,56.93,1205.68,53479.72,0.21,137,1812
,10.0,1200000.0,18000.0,2.38,448.16,786.93,56.95,1205.68,65285.68,0.64,137,1814
,10.0,1200000.0,18000.0,2.38,448.14,786.96,56.95,1206.18,56454.89,0.18,137,1817
,10.0,1200000.0,18000.0,2.38,448.07,786.55,56.97,1205.99,51124.73,0.15,137,1819
,10.0,1200000.0,18000.0,2.38,448.02,786.81,56.94,1206.4,35310.04,0.12,137,1821
,10.0,1200000.0,18000.0,2.38,449.32,786.69,57.12,1206.7,55102.01,0.2,137,1824
,10.0,1200000.0,18000.0,2.38,447.98,786.34,56.97,1206.24,49591.68,0.17,137,1826
,10.0,1200000.0,18000.0,2.38,449.06,786.42,57.1,1207.56,54967.25,0.46,137,1828
,10.0,1200000.0,18000.0,2.38,446.82,787.21,56.76,1204.65,53859.03,0.2,137,1831
,10.0,1200000.0,18000.0,2.38,448.02,786.57,56.96,1206.38,50575.37,0.23,137,1833
,13.333333,1240000.0,20000.0,2.17,12512.74,20295.34,61.65,13270.03,56877.62,0.46,137,1835
,13.333333,1240000.0,20000.0,2.17,12530.69,19243.26,65.12,13289.0,53702.12,0.19,137,1838
,13.333333,1240000.0,20000.0,2.17,12518.8,18734.23,66.82,13276.3,54717.4,0.19,137,1840
,13.333333,1240000.0,20000.0,2.17,12521.68,20532.66,60.98,13279.23,53941.62,0.42,137,1842
,13.333333,1240000.0,20000.0,2.17,12499.07,19922.2,62.74,13257.05,45239.68,0.15,137,1845
